"ID","Title","Section","Section Depth","Section Description","Section Hierarchy","Suite","Suite ID","Type","is_converted"
"C46","Verify all links on account creation page are clickable","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Regression","1"
"C47","Verify no link returns 404 error","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C48","Verify redirect links work correctly","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C49","Verify external links open correctly","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C50","Verify links under different network conditions","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C51","Verify links in different browsers","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C52","Verify mobile responsiveness of links","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C53","Verify broken link handling message","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","0"
"C54","Verify signup button is clickable","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","0"
"C55","Verify signup button submits form with valid data","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","1"
"C56","Verify button behavior with empty fields","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","1"
"C57","Verify button behavior with invalid input","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","1"
"C58","Verify button disabled state","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","1"
"C59","Verify multiple clicks handling","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","0"
"C60","Verify button under slow network","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","0"
"C61","Verify button functionality across browsers","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","0"
"C62","Verify that the email field accepts valid email format","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","0"
"C63","Verify that the email field rejects special characters like """"!""""","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C64","Verify that the email field rejects special characters like """"@"""", """"?""""","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C65","Verify that the email field rejects multiple consecutive dots","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C66","Verify that the email field rejects spaces before or after the email","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C67","Verify that the email field accepts special characters in the domain part","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C68","Verify that the email field rejects an email with non-alphanumeric characters only (e.g., !!!@@@)","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","0"
"C69","Verify that the password field is visually disabled","[Google FE] Password field is disabled in signup page","0","","[Google FE] Password field is disabled in signup page","Master","S1","Other","1"
"C70","Verify that the password field cannot be interacted with","[Google FE] Password field is disabled in signup page","0","","[Google FE] Password field is disabled in signup page","Master","S1","Other","1"
"C71","Verify that the password field is not included in form submission","[Google FE] Password field is disabled in signup page","0","","[Google FE] Password field is disabled in signup page","Master","S1","Other","1"
"C72","Verify that the password field is skipped during form validation","[Google FE] Password field is disabled in signup page","0","","[Google FE] Password field is disabled in signup page","Master","S1","Other","0"
"C73","Verify error message is not triggered for disabled password field","[Google FE] Password field is disabled in signup page","0","","[Google FE] Password field is disabled in signup page","Master","S1","Other","0"
"C74","Verify that the logo is displayed correctly","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","1"
"C75","Verify that the logo image source URL is correct","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","1"
"C76","Verify that the logo is not broken (i.e., no 404 error)","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","1"
"C77","Verify proper fallback for broken logo image","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","1"
"C78","Verify that the page layout does not break when the logo is broken","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","1"
"C79","Verify that the logo still redirects to the homepage when clicked","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","0"
"C80","Verify the logo's aspect ratio and dimensions","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","0"
"C81","Verify that the logo works across multiple devices (mobile and desktop)","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","0"
"C82","Verify browser compatibility for the logo display","[Google FE] Login page has broken logo","0","","[Google FE] Login page has broken logo","Master","S1","Other","1"
"C83","Verify that the system prevents duplicate email during signup","[Google FE] Duplicate emails are being taken while signup","0","","[Google FE] Duplicate emails are being taken while signup","Master","S1","Other","1"
"C84","Verify error message when duplicate email is used","[Google FE] Duplicate emails are being taken while signup","0","","[Google FE] Duplicate emails are being taken while signup","Master","S1","Other","1"
"C85","Verify that system prevents duplicate email registration across different browsers","[Google FE] Duplicate emails are being taken while signup","0","","[Google FE] Duplicate emails are being taken while signup","Master","S1","Other","1"
"C86","Verify that duplicate email check is case-insensitive","[Google FE] Duplicate emails are being taken while signup","0","","[Google FE] Duplicate emails are being taken while signup","Master","S1","Other","1"
"C87","Verify that system prevents duplicate email registration in different sessions","[Google FE] Duplicate emails are being taken while signup","0","","[Google FE] Duplicate emails are being taken while signup","Master","S1","Other","1"
"C88","Verify that error message is shown immediately after typing duplicate email","[Google FE] Duplicate emails are being taken while signup","0","","[Google FE] Duplicate emails are being taken while signup","Master","S1","Other","0"
"C89","Verify that duplicate email error is cleared when entering a new email","[Google FE] Duplicate emails are being taken while signup","0","","[Google FE] Duplicate emails are being taken while signup","Master","S1","Other","0"
"C90","Verify that duplicate email check works for emails with different domain names","[Google FE] Duplicate emails are being taken while signup","0","","[Google FE] Duplicate emails are being taken while signup","Master","S1","Other","0"
"C91","Verify that account creation is not allowed without a password","[Google FE] Account creation can be done without any password","0","","[Google FE] Account creation can be done without any password","Master","S1","Other","0"
"C92","Verify error message when attempting to sign up without a password","[Google FE] Account creation can be done without any password","0","","[Google FE] Account creation can be done without any password","Master","S1","Other","1"
"C93","Verify password field is marked as mandatory","[Google FE] Account creation can be done without any password","0","","[Google FE] Account creation can be done without any password","Master","S1","Other","1"
"C94","Verify that account creation is blocked if password is not provided","[Google FE] Account creation can be done without any password","0","","[Google FE] Account creation can be done without any password","Master","S1","Other","1"
"C95","Verify that the system does not allow creating an account with only an email address (no password)","[Google FE] Account creation can be done without any password","0","","[Google FE] Account creation can be done without any password","Master","S1","Other","1"
"C96","Verify form submission with empty password field results in no account creation","[Google FE] Account creation can be done without any password","0","","[Google FE] Account creation can be done without any password","Master","S1","Other","1"
"C97","Verify password field error on form submission without password","[Google FE] Account creation can be done without any password","0","","[Google FE] Account creation can be done without any password","Master","S1","Other","0"
"C98","Verify password field validation when password is left empty but required by design","[Google FE] Account creation can be done without any password","0","","[Google FE] Account creation can be done without any password","Master","S1","Other","0"
"C99","Verify that password field accepts numeric characters","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","1"
"C100","Verify that the password field correctly handles passwords with only numbers","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","1"
"C101","Verify that the password field accepts passwords with a combination of letters and numbers","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","1"
"C102","Verify error message when a password with numbers is rejected (if applicable)","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","1"
"C103","Verify that password with numbers passes validation for security requirements","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","0"
"C104","Verify the login page behavior with numeric characters at different positions in the password","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","0"
"C105","Verify that password field is not restricted to prevent numbers (functional check)","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","0"
"C106","Verify the behavior of password field when numbers are entered in the middle of letters","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","0"
"C107","Verify that the login form works with a password containing special characters and numbers","[Google FE] Password field in login page isn't accepting numbers","0","","[Google FE] Password field in login page isn't accepting numbers","Master","S1","Other","0"
"C108","Verify that the title is displayed in the browser tab","[Google FE] No title in login page","0","","[Google FE] No title in login page","Master","S1","Other","0"
"C109","Verify that the login page displays a relevant title for SEO purposes","[Google FE] No title in login page","0","","[Google FE] No title in login page","Master","S1","Other","0"
"C110","Verify that the page title appears in accessibility tools (screen readers)","[Google FE] No title in login page","0","","[Google FE] No title in login page","Master","S1","Other","0"
"C111","Verify that the absence of a title doesn’t affect browser history or navigation","[Google FE] No title in login page","0","","[Google FE] No title in login page","Master","S1","Other","0"
"C112","Verify that the absence of a title does not affect bookmarking or sharing the login page","[Google FE] No title in login page","0","","[Google FE] No title in login page","Master","S1","Other","0"
"C113","Verify that the login page title is displayed correctly on mobile devices","[Google FE] No title in login page","0","","[Google FE] No title in login page","Master","S1","Other","0"
"C114","Verify that an empty or missing title does not result in a default title being used by the browser","[Google FE] No title in login page","0","","[Google FE] No title in login page","Master","S1","Other","0"
"C115","Verify that the absence of a title does not impact page load or performance","[Google FE] No title in login page","0","","[Google FE] No title in login page","Master","S1","Other","0"
"C116","Verify that 'Login' and 'Signup' buttons are missing on the Gmail landing page","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C117","Verify the behavior when attempting to access Gmail without 'Login' and 'Signup' buttons","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C118","Verify that missing buttons do not block access to Gmail login page via direct URL","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C119","Verify if the 'Login' button was removed due to design changes","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C120","Verify that the page is still usable even without 'Login' and 'Signup' buttons","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C121","Verify that alternative login/signup methods are available if 'Login' and 'Signup' buttons are missing","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C122","Verify if the absence of 'Login' and 'Signup' buttons affects usability on mobile devices","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C123","Verify if the absence of the 'Signup' button causes confusion for new users","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C124","Verify if missing buttons impact SEO (Search Engine Optimization) and search visibility","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","0","","[Google FE] Gmail Landing page does not have 'Login' and 'Signup' buttons","Master","S1","Other","0"
"C125","Verify that all footer links on the login page are functional","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C126","Verify that broken footer links display a proper error page (404)","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C127","Verify that footer links open in the correct context (new tab or same tab)","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C128","Verify that footer links are not broken when the page is refreshed","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C129","Verify that the login page footer links lead to the correct URL destination","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C130","Verify that clicking on a broken footer link does not crash the application","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C131","Verify that all footer links are visible and clickable","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C132","Verify the footer links' responsiveness on mobile devices","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C133","Verify if footer links display the correct link text","[Google FE] Login page has broken footer links","0","","[Google FE] Login page has broken footer links","Master","S1","Other","0"
"C134","Verify that all social login buttons are visible on the login page","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C135","Verify that social login buttons redirect to the correct social login page","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C136","Verify that broken social login buttons do not redirect to error pages","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C137","Verify that broken social login buttons display a fallback error message","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C138","Verify that clicking on a social login button does not crash the page or cause layout issues","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C139","Verify that social login buttons work correctly after refreshing the login page","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C140","Verify that clicking a social login button does not cause navigation issues (e.g., broken redirects)","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C141","Verify that social login buttons do not display incorrectly (e.g., broken images or CSS issues)","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C142","Verify that social login buttons trigger the correct API calls (backend validation)","[Google FE] Login page has broken social access buttons","0","","[Google FE] Login page has broken social access buttons","Master","S1","Other","0"
"C143","Verify that the Google Play Store and App Store links are present on the Gmail landing page","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C144","Verify that clicking the Play Store and App Store links redirects to the correct app pages","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C145","Verify that the Play Store and App Store links open in a new tab or window","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C146","Verify that the Play Store and App Store links are not broken (404 or dead links)","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C147","Verify that clicking the store app links does not result in the page crashing or freezing","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C148","Verify that mobile app download links for Gmail are displayed only on mobile devices","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C149","Verify that the Play Store and App Store links are displayed correctly in different browsers","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","0"
"C150","Verify that the app download links (Google Play Store and Apple App Store) are displayed in the correct language","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C151","Verify that the app links work when the user is logged into the respective store (Google or Apple account)","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C152","Verify that the download links (Google Play Store and Apple App Store) are present in the mobile app section","[Google FE] Gmail landing page does not have working store apps","0","","[Google FE] Gmail landing page does not have working store apps","Master","S1","Other","1"
"C153","GMX-18 Verify share dialog sends invite email to added collaborator","[Google Workspace] Google Drive sharing dialog does not send invite email","0","","[Google Workspace] Google Drive sharing dialog does not send invite email","Master","S1","Regression","1"
"C154","GMX-18 Verify external collaborator receives Google Drive share notification","[Google Workspace] Google Drive sharing dialog does not send invite email","0","","[Google Workspace] Google Drive sharing dialog does not send invite email","Master","S1","Regression","1"
"C155","GMX-18 Verify Drive share email includes correct file name and permission","[Google Workspace] Google Drive sharing dialog does not send invite email","0","","[Google Workspace] Google Drive sharing dialog does not send invite email","Master","S1","Other","1"
"C156","GMX-19 Verify comment mention sends collaborator notification in Google Docs","[Google Workspace] Google Docs comment mentions are not notifying collaborators","0","","[Google Workspace] Google Docs comment mentions are not notifying collaborators","Master","S1","Regression","1"
"C157","GMX-19 Verify mentioned user sees unread comment alert in Google Docs","[Google Workspace] Google Docs comment mentions are not notifying collaborators","0","","[Google Workspace] Google Docs comment mentions are not notifying collaborators","Master","S1","Other","1"
"C158","GMX-19 Verify email notification is sent only once per mention event","[Google Workspace] Google Docs comment mentions are not notifying collaborators","0","","[Google Workspace] Google Docs comment mentions are not notifying collaborators","Master","S1","Other","1"
"C159","GMX-20 Verify Google Meet preview loads camera and microphone tiles before join","[Google Workspace] Google Meet join flow shows a blank preview screen","0","","[Google Workspace] Google Meet join flow shows a blank preview screen","Master","S1","Regression","1"
"C160","GMX-20 Verify user can join Meet from preview screen without blank state","[Google Workspace] Google Meet join flow shows a blank preview screen","0","","[Google Workspace] Google Meet join flow shows a blank preview screen","Master","S1","Regression","1"
"C161","GMX-20 Verify preview fallback message appears when camera permission is blocked","[Google Workspace] Google Meet join flow shows a blank preview screen","0","","[Google Workspace] Google Meet join flow shows a blank preview screen","Master","S1","Other","1"
"C162","GMX-21 Verify editing one recurring Calendar event keeps original time zone","[Google Workspace] Google Calendar recurring event edit loses time zone","0","","[Google Workspace] Google Calendar recurring event edit loses time zone","Master","S1","Regression","1"
"C163","GMX-21 Verify editing all recurring events preserves series time zone","[Google Workspace] Google Calendar recurring event edit loses time zone","0","","[Google Workspace] Google Calendar recurring event edit loses time zone","Master","S1","Other","1"
"C164","GMX-21 Verify recurring event time does not shift after save and refresh","[Google Workspace] Google Calendar recurring event edit loses time zone","0","","[Google Workspace] Google Calendar recurring event edit loses time zone","Master","S1","Other","1"
"C165","GMX-22 Verify Google Sheets filter view persists after browser refresh","[Google Workspace] Google Sheets filter view is not persisting after refresh","0","","[Google Workspace] Google Sheets filter view is not persisting after refresh","Master","S1","Regression","1"
"C166","GMX-22 Verify saved filter view is visible to returning user session","[Google Workspace] Google Sheets filter view is not persisting after refresh","0","","[Google Workspace] Google Sheets filter view is not persisting after refresh","Master","S1","Regression","1"
"C167","GMX-22 Verify filter view name and column rules remain intact after reload","[Google Workspace] Google Sheets filter view is not persisting after refresh","0","","[Google Workspace] Google Sheets filter view is not persisting after refresh","Master","S1","Other","1"
